item_name,image_path,image,checked,page,column,row,notes_1_name,notes_1,notes_2_name,notes_2,notes_3_name,notes_3,notes_4_name,notes_4,notes_
Fried Egg,images/Fried_Egg.png,pyimage1,False,Cooking,0,0,Ingredients:,Egg,Recipe Source:,Upgraded farmhouse,,,,,
Omelet,images/Omelet.png,pyimage2,False,Cooking,1,0,Ingredients:,"Egg, Milk",Recipe Source:,"Stardrop Saloon, Cooking Channel, (28 Spring, Year 1)",,,,,
Salad,images/Salad.png,pyimage3,False,Cooking,2,0,Ingredients:,"Leek, Dandelion, Vinegar",Recipe Source:,Emily - 3+ hearts,,,,,
Cheese Cauliflower,images/Cheese_Cauliflower.png,pyimage4,False,Cooking,3,0,Ingredients:,"Cauliflower, Cheese",Recipe Source:,Pam - 3+ hearts,,,,,
Baked Fish,images/Baked_Fish.png,pyimage5,False,Cooking,4,0,Ingredients:,"Sunfish, Bream, Wheat Flour",Recipe Source:,"Cooking Channel, (7 Summer, Year 1)",,,,,
Parsnip Soup,images/Parsnip_Soup.png,pyimage6,False,Cooking,5,0,Ingredients:,"Parsnip, Milk, Vinegar",Recipe Source:,Caroline - 3+ hearts,,,,,
Vegetable Medley,images/Vegetable_Medley.png,pyimage7,False,Cooking,6,0,Ingredients:,"Tomato, Beet",Recipe Source:,Caroline - 7+ hearts,,,,,
Complete Breakfast,images/Complete_Breakfast.png,pyimage8,False,Cooking,7,0,Ingredients:,"Fried Egg, Milk, Hashbrowns, Pancakes",Recipe Source:,"Cooking Channel, (21 Spring, Year 2)",,,,,
Fried Calamari,images/Fried_Calamari.png,pyimage9,False,Cooking,8,0,Ingredients:,"Squid, Wheat Flour, Oil",Recipe Source:,Jodi - 3+ hearts,,,,,
Strange Bun,images/Strange_Bun.png,pyimage10,False,Cooking,9,0,Ingredients:,"Wheat Flour, Periwinkle, Void Mayo",Recipe Source:,Shane - 7+ hearts,,,,,
Lucky Lunch,images/Lucky_Lunch.png,pyimage11,False,Cooking,0,1,Ingredients:,"Sea Cucumber, Tortilla, Blue Jazz",Recipe Source:,"Cooking Channel, (28 Spring, Year 2)",,,,,
Fried Mushroom,images/Fried_Mushroom.png,pyimage12,False,Cooking,1,1,Ingredients:,"Common Mushroom, Morel, Oil",Recipe Source:,Demetrius - 3+ hearts,,,,,
Pizza,images/Pizza.png,pyimage13,False,Cooking,2,1,Ingredients:,"Wheat Flour, Tomato, Cheese",Recipe Source:,"Stardrop Saloon, Cooking Channel, (7 Spring, Year 2)",,,,,
Bean Hotpot,images/Bean_Hotpot.png,pyimage14,False,Cooking,3,1,Ingredients:,Green Bean x 2,Recipe Source:,Clint - 7+ hearts,,,,,
